,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000105364,2464,4069,4948,1544,493,1663,1956,1894,889,1052
ENSG00000105366,78,33,10,452,60,289,346,9,55,202
ENSG00000105369,2038,110,44,4077,247,310,534,10,50,790
ENSG00000105372,38916,89005,140554,76079,13675,19955,41072,23905,22585,18531
ENSG00000105373,10322,17749,12920,16368,4214,12948,23137,18159,8383,11584
ENSG00000105374,260,343,1069,3260,221,139,369,28,42,185
ENSG00000105379,1320,857,373,508,41,386,761,534,434,333
ENSG00000105383,108,203,152,1210,113,161,1886,173,59,84
ENSG00000105388,4,80,10,0,0,1631,108,219,725,3707
ENSG00000105393,1046,1733,1457,982,362,1219,1188,1360,781,722
ENSG00000105397,3397,3258,6590,4788,1423,5528,6397,5823,2872,3091
ENSG00000105401,7253,12969,19871,7676,2598,8966,9188,11202,5165,5287
ENSG00000105402,4476,2016,1766,3932,799,9091,5321,8357,2192,4132
ENSG00000105404,885,441,243,409,77,387,321,485,360,301
ENSG00000105419,436,770,115,749,180,2313,1633,3315,2352,1387
ENSG00000105426,1289,7695,3658,4047,1000,3158,1892,5258,1888,587
ENSG00000105427,303,149,306,56,72,161,151,550,94,243
ENSG00000105429,3335,2710,2088,3011,890,6084,4661,7971,1368,3659
ENSG00000105438,16324,13953,16394,16248,7703,18039,16159,16985,11377,10639
ENSG00000105443,8417,4591,3238,3160,1832,5801,4558,8411,4500,3176
ENSG00000105447,4641,4306,2343,4711,1227,3623,3307,4186,1719,2129
ENSG00000105464,360,994,215,352,52,116,201,161,122,71
ENSG00000105472,825,1175,178,545,161,819,1133,203,1154,308
ENSG00000105479,95,81,53,22,43,809,46,655,135,77
ENSG00000105483,1629,1111,686,6635,1506,2667,3836,2916,1062,1653
ENSG00000105486,3697,2458,3989,2758,1333,2327,2432,3299,1461,1726
ENSG00000105492,14,5,7,332,40,180,232,8,38,68
ENSG00000105497,129,353,261,843,150,1228,1108,1343,292,576
ENSG00000105499,379,445,236,781,187,418,1419,848,128,299
ENSG00000105514,698,4697,1932,1789,525,5011,3045,5370,2279,2876
ENSG00000105516,831,787,464,889,207,355,710,2624,732,1322
ENSG00000105518,848,1317,893,550,137,1917,742,3211,830,1694
ENSG00000105519,10260,392,4026,494,164,583,236,672,680,293
ENSG00000105520,1267,3387,2095,1489,417,4781,1738,5177,2600,1961
ENSG00000105523,119,48,14,11,20,1831,1715,165,51,2318
ENSG00000105538,735,522,117,1008,594,857,737,261,211,426
ENSG00000105552,2154,1270,1629,1479,701,4456,3259,5072,2949,2220
ENSG00000105556,1214,939,1201,989,272,1000,1286,1432,702,662
ENSG00000105559,3632,661,4748,1642,1877,2125,970,342,1250,686
ENSG00000105568,37463,21741,11247,15159,6701,19813,15681,25732,12554,13628
ENSG00000105576,5255,9264,6677,5433,2802,8742,7321,11301,4132,4886
ENSG00000105607,2043,2911,1503,1289,553,3305,2020,3249,1784,1680
ENSG00000105609,195,204,92,3517,62,105,294,59,17,25
ENSG00000105612,3838,3805,5519,7331,1543,7607,5172,5942,4323,4381
ENSG00000105613,98,114,200,59,124,120,44,18,59,17
ENSG00000105617,260,689,216,390,114,388,587,883,476,373
ENSG00000105618,1435,2841,2477,2067,645,2033,2094,2118,1103,1215
ENSG00000105619,431,747,612,526,165,733,979,1134,353,614
ENSG00000105639,823,722,813,8216,909,675,1365,67,310,428
ENSG00000105640,16616,40465,38114,23146,3055,8303,26281,13277,8906,7939
ENSG00000105642,22,20,73,54,8,17,63,14,21,9
ENSG00000105643,1950,2111,1489,3618,541,1413,1870,2127,1493,1124
ENSG00000105649,280,403,225,207,54,518,363,898,612,247
ENSG00000105655,4282,2197,8055,1844,1818,3694,1501,5260,4943,1349
ENSG00000105656,1382,2608,1391,2213,518,1679,1720,2170,778,1001
ENSG00000105662,943,992,1041,1113,424,1553,772,2592,1082,752
ENSG00000105664,4333,3252,12,18630,1261,4660,6620,312,6297,3379
ENSG00000105669,4694,6014,4735,4093,996,4700,4118,5358,3489,3032
ENSG00000105671,3248,6778,4177,3351,1150,3575,2901,3686,2149,2235
ENSG00000105672,59,41,50,19,10,30,53,102,54,37
