,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000166200,2752,4853,5801,7970,2193,8239,9683,8151,4168,4603
ENSG00000166206,140,482,1,705,12,63,82,1101,17,16
ENSG00000166224,3686,3276,4623,14696,3845,7009,14109,12662,4133,5967
ENSG00000166225,851,3186,1466,3249,1329,12638,8127,5720,3064,3761
ENSG00000166226,9881,28420,16175,13786,6064,12449,18040,12688,9179,6244
ENSG00000166228,5195,1617,3266,2693,2280,2471,4398,5708,2903,3343
ENSG00000166233,3770,3277,5640,9039,1951,8648,9595,8620,3083,5093
ENSG00000166246,158,108,13,29,16,415,177,901,176,509
ENSG00000166250,2282,2027,1412,5504,2512,1896,1933,192,696,603
ENSG00000166257,29,24,5,155,86,139,606,3,13,67
ENSG00000166260,1491,3194,1223,2922,921,2777,3465,3666,1286,1803
ENSG00000166261,660,971,1058,1030,747,967,1188,1213,230,407
ENSG00000166262,127,186,96,192,88,528,527,575,213,515
ENSG00000166263,526,902,144,914,323,1186,3131,2048,996,629
ENSG00000166265,1155,438,1537,2403,1430,1774,2201,927,381,969
ENSG00000166266,1578,2589,2247,4554,2273,2807,6160,4945,714,1492
ENSG00000166268,10,47,9,14,30,39,18,39,25,20
ENSG00000166272,5605,3032,2092,9744,2467,8939,7165,13654,3097,9450
ENSG00000166275,967,477,383,995,431,1653,3077,3653,574,1638
ENSG00000166278,2117,1463,321,3418,190,312,541,144,93,183
ENSG00000166289,1152,2360,743,1253,490,662,1326,283,113,510
ENSG00000166292,46,7,6,617,43,84,85,2,22,81
ENSG00000166295,6413,2888,3953,5786,4020,4526,9678,10659,3481,6591
ENSG00000166311,1398,1742,515,2505,622,4410,4683,4566,576,2435
ENSG00000166313,1605,733,458,1793,314,2140,1094,6624,251,2777
ENSG00000166321,211,101,31,129,137,189,315,215,84,206
ENSG00000166323,9,32,23,53,19,41,60,68,7,31
ENSG00000166326,4008,6151,4429,13298,4765,15410,13595,14675,7001,8498
ENSG00000166333,13,12,7,37,10,36,59,29,11,17
ENSG00000166337,102,87,75,118,70,203,136,158,32,73
ENSG00000166340,3970,6661,3994,24348,4879,13011,30518,6744,4485,6098
ENSG00000166341,1202,864,90,3192,910,3131,2189,4522,825,871
ENSG00000166343,102,43,71,78,33,70,86,155,54,55
ENSG00000166347,2596,5315,1737,3720,903,22986,4251,19075,1812,12904
ENSG00000166348,3932,908,656,1430,2152,2334,4619,4588,899,3478
ENSG00000166349,25,68,15,114,109,105,171,114,25,44
ENSG00000166352,292,1170,278,541,563,423,748,453,417,235
ENSG00000166359,78,60,28,44,50,157,55,140,32,79
ENSG00000166377,965,1779,683,1833,581,2681,1734,3053,438,2144
ENSG00000166387,7011,3889,659,2792,637,2783,4607,2831,605,3113
ENSG00000166391,53,2941,110,9,64,32,207,88,15,164
ENSG00000166394,2503,4847,1095,666,261,1400,380,259,332,1152
ENSG00000166398,2313,1946,1648,4571,1179,3760,3835,1772,1113,2074
ENSG00000166401,508,615,291,1905,449,648,1334,500,189,434
ENSG00000166402,1278,514,640,1844,492,899,379,1342,227,372
ENSG00000166405,1205,102,2,458,161,238,59,360,16,105
ENSG00000166411,827,906,997,2115,334,797,3217,1888,623,839
ENSG00000166426,8023,682,431,185,366,27,8,0,3,22
ENSG00000166428,358,28,151,1024,197,469,323,264,59,526
ENSG00000166432,834,279,15,919,607,2285,1091,3428,354,892
ENSG00000166435,563,417,251,434,515,1476,1629,1457,200,3288
ENSG00000166436,341,633,300,1118,292,3209,2002,3809,396,1795
ENSG00000166439,427,1014,656,2646,1092,2476,2593,2238,585,1525
ENSG00000166441,25410,73704,97381,57920,15353,24436,57737,26399,14423,23878
ENSG00000166444,2291,4160,2053,2612,859,2865,5569,838,809,952
ENSG00000166446,508,1060,87,2949,531,3881,4607,10806,984,4428
ENSG00000166448,72,281,17,443,95,192,41,15,105,89
ENSG00000166450,25,47,764,259,297,580,200,396,173,175
ENSG00000166451,868,1083,683,987,736,261,595,266,152,130
ENSG00000166452,686,1453,640,903,252,1139,2074,1427,504,980
ENSG00000166454,5565,6029,3786,7479,4355,6569,6108,4294,2360,3479
ENSG00000166471,1171,1747,1085,2083,860,4684,4063,6051,1121,3288
ENSG00000166473,197,10,17,29,137,226,4,39,134,8
ENSG00000166477,1401,1299,1966,2374,518,4174,4489,4239,2194,3436
ENSG00000166478,731,1244,1069,1854,531,1309,1816,1487,658,811
ENSG00000166479,3358,5542,1472,7574,2498,4446,6134,4189,1789,2783
ENSG00000166482,875,485,206,8631,2575,5502,3196,30,1702,1103
ENSG00000166483,4812,4109,2471,3482,1596,4640,3728,5968,1754,3972
ENSG00000166484,1627,1653,1010,1192,500,1242,1079,1463,637,680
ENSG00000166492,17,17,3,32,16,28,21,23,5,39
ENSG00000166501,373,143,263,9829,601,331,1193,60,56,443
ENSG00000166503,1513,1496,128,3757,709,5332,6276,8369,3303,3417
ENSG00000166508,17057,19218,19854,13605,5441,5803,7605,5347,4489,4752
ENSG00000166510,38,21,42,94,56,140,67,763,25,109
ENSG00000166523,120,132,129,2298,46,16,306,62,28,43
ENSG00000166526,2315,4442,2226,2276,1636,4443,2933,2238,2055,2029
ENSG00000166529,215,487,238,335,178,587,379,275,291,311
ENSG00000166532,1158,443,740,2552,2677,1757,1709,2230,1522,935
ENSG00000166535,3569,1294,21,3079,261,24,9,5,260,10
ENSG00000166546,23,40,185,324,14,88,70,22,37,42
ENSG00000166548,1061,1025,947,2487,364,2908,2845,1921,539,1203
ENSG00000166557,11395,6632,8934,6676,2822,20752,13543,9005,6171,7818
ENSG00000166562,4008,3575,1502,4789,1577,3304,3585,2981,1558,2231
ENSG00000166575,443,982,625,2786,859,5687,3187,4360,1329,2037
ENSG00000166578,183,28,50,52,49,388,235,221,224,231
ENSG00000166579,3816,1828,1624,4037,1435,3707,3980,2951,1483,1881
ENSG00000166582,1746,1080,1508,545,78,541,953,1326,122,755
ENSG00000166592,123,32,76,330,222,71,116,16,34,40
ENSG00000166595,4891,4213,4829,2381,708,1102,1707,1267,1229,893
ENSG00000166598,49421,34502,96732,87323,42373,55121,81531,34763,27141,31529
ENSG00000166619,4283,3374,6880,6038,1533,5500,5258,6211,2258,3633
ENSG00000166669,551,697,312,880,653,1167,1640,1921,572,184
ENSG00000166670,67,2,14,1,43,379,23,100,189,173
ENSG00000166676,52,23,33,264,33,93,72,80,7,48
ENSG00000166681,4560,4907,4122,2735,2953,7810,1003,11842,3040,1229
ENSG00000166682,59,25,12,12,8,19,38,99,6,11
ENSG00000166685,1560,3788,923,2056,732,3811,2434,3465,2265,1707
ENSG00000166689,3420,2149,343,1436,455,4469,3477,4975,2397,2940
ENSG00000166704,356,839,339,497,787,2644,1452,2497,984,1080
ENSG00000166707,181,53,27,83,73,45,38,9,5,15
ENSG00000166710,92959,89044,106853,648900,78940,147117,268424,58510,40854,73831
ENSG00000166716,2309,2298,3431,5029,990,6083,4299,9194,2396,3687
ENSG00000166734,3081,3017,2378,9107,2653,12092,11333,10917,3604,7733
ENSG00000166741,4655,6108,9141,14698,2517,4714,13129,233,1686,1969
ENSG00000166743,29,19,9,28,10,166,188,394,341,200
ENSG00000166747,7201,8771,3660,11740,4020,12902,9938,9581,4243,6005
ENSG00000166750,3529,3520,1830,25144,2300,3684,12418,3922,946,2145
ENSG00000166762,66,54,113,88,73,379,195,238,89,94
ENSG00000166770,527,1051,575,317,516,1123,387,27,55,105
ENSG00000166780,283,321,100,650,147,629,666,6549,463,1925
ENSG00000166783,3950,4716,2640,10362,2149,12143,11798,15311,2191,8432
ENSG00000166788,882,2160,986,1236,472,1016,2020,659,600,427
ENSG00000166793,47,35,9,107,21,62,36,19,9,16
ENSG00000166794,7351,6472,22630,9845,2657,5482,11843,5369,4627,3806
ENSG00000166797,2118,1772,2875,4438,710,2894,6805,3070,1505,2730
ENSG00000166801,806,1010,2265,4337,1672,7794,5696,4196,1453,1569
ENSG00000166803,700,307,1143,336,77,146,547,444,118,120
ENSG00000166813,340,237,1032,337,269,352,291,959,133,225
ENSG00000166816,666,27,34,213,16,879,943,799,825,126
ENSG00000166819,135,11,8,9046,125,1203,448,98,109,715
ENSG00000166821,534,436,401,560,531,4178,2017,2355,2124,1884
ENSG00000166822,1924,1119,1542,2552,1711,1747,1603,1089,429,770
ENSG00000166823,427,217,345,65,30,115,44,358,12,31
ENSG00000166825,1446,1634,8003,7154,1562,8602,60965,4234,29592,1913
ENSG00000166828,2543,246,102,135,236,198,44,66,41,245
ENSG00000166831,158,92,475,375,60,198,124,1177,109,110
ENSG00000166833,1243,1484,1047,1604,970,5101,8577,7092,1890,6040
ENSG00000166839,165,98,279,525,107,267,267,257,86,103
ENSG00000166840,52,8,15,1,3,1074,6,795,2,107
ENSG00000166845,550,625,412,1006,449,497,524,169,386,160
ENSG00000166847,6544,6832,3037,7221,3080,7931,8778,9342,3501,5224
ENSG00000166848,5882,3797,2225,6240,2216,3797,5196,3643,2517,2294
ENSG00000166851,7743,3112,3813,2749,1317,472,1250,1177,1039,376
ENSG00000166855,2557,2454,3558,5250,1174,5585,6410,5070,2009,3306
ENSG00000166860,549,616,757,1749,676,931,1025,1321,311,450
ENSG00000166881,1457,1172,2570,4752,1698,3195,2977,2718,1258,1690
ENSG00000166886,2466,1145,3311,2023,859,1221,1174,1395,3359,848
ENSG00000166887,4260,1914,2193,7446,1859,11308,7902,9649,4088,5586
ENSG00000166888,12942,4821,4068,12928,3337,14814,11100,13999,7793,8938
ENSG00000166889,1995,4422,5203,5701,3419,4109,5175,3778,2672,1386
ENSG00000166896,352,396,476,390,186,351,314,515,205,241
ENSG00000166900,2802,2444,3162,1991,2269,4084,4844,3917,2060,1385
ENSG00000166902,1726,3724,4421,2276,1029,3134,3155,2623,1389,914
ENSG00000166908,4328,3301,3324,3538,1683,7659,4546,6889,6063,4673
ENSG00000166912,1034,1278,646,3148,509,2824,2638,2946,848,1841
ENSG00000166913,29323,27000,30897,46399,12681,42652,36890,38354,17544,19604
ENSG00000166920,100,209,166,1249,91,2326,2304,129,577,237
ENSG00000166922,400,219,174,173,193,248,453,24,134,85
ENSG00000166923,1712,6987,591,3294,4493,3527,15398,89,2403,595
ENSG00000166924,110,28,28,29,17,23,14,20,10,17
ENSG00000166925,9182,7362,2602,4245,1133,3690,2762,1942,2922,2163
ENSG00000166927,870,492,311,6428,768,1975,6218,4830,216,995
ENSG00000166928,44,82,29,275,135,327,561,640,16,140
ENSG00000166938,1390,1065,2346,2365,619,5175,4394,6744,2072,3240
ENSG00000166946,1707,1165,738,4656,675,4554,5712,6737,2052,3925
ENSG00000166949,1178,599,3377,5399,812,5934,2351,11726,1351,3864
ENSG00000166963,552,834,228,3985,1183,2149,12630,371,994,464
ENSG00000166965,1324,990,1322,488,220,619,940,763,541,430
ENSG00000166971,2251,1466,849,2057,1195,1878,1551,1774,662,986
ENSG00000166974,7022,4722,895,6400,1267,2280,5541,1683,1088,971
ENSG00000166979,269,267,259,943,248,1699,1660,1713,324,1619
ENSG00000166986,6286,4643,5937,8369,2529,7261,7944,6805,3578,3224
ENSG00000166987,1956,1395,1704,1818,901,5843,4078,6310,2096,3378
ENSG00000166997,1308,1148,812,1111,384,1251,918,570,560,565
ENSG00000167004,34747,29047,67900,50280,17258,59748,59472,31946,36055,33338
ENSG00000167005,7677,7488,6571,12377,6968,8328,8352,7507,2044,4602
ENSG00000167034,71,30,685,262,210,319,3812,1892,38,1535
ENSG00000167037,68,17,253,145,47,186,75,183,37,285
ENSG00000167065,167,169,107,486,95,345,572,382,166,221
ENSG00000167074,613,1733,340,2008,179,811,2026,5165,676,3199
ENSG00000167077,306,83,57,836,75,136,217,29,34,145
ENSG00000167081,905,1937,1046,2584,600,712,4024,1559,565,1116
ENSG00000167083,48,60,122,421,25,46,134,23,11,35
ENSG00000167085,7749,10434,6293,5377,1736,5042,5144,4425,5296,2894
ENSG00000167088,7084,6505,6288,3908,3022,3625,2616,3287,2133,3044
ENSG00000167094,26,17,17,86,25,321,35,96,14,99
ENSG00000167100,213,68,23,160,80,115,120,151,54,69
ENSG00000167103,265,39,227,27,42,427,125,714,160,268
ENSG00000167105,151,44,19,53,45,118,59,23,32,24
ENSG00000167106,6410,6496,6724,9194,1941,24747,24004,20578,17288,9519
ENSG00000167107,647,568,2266,2087,575,2751,4127,6016,1520,6658
ENSG00000167110,5881,5666,6164,6493,3661,11864,10341,11262,8472,6034
ENSG00000167112,2006,3283,3430,2047,906,4773,3874,4684,2260,2647
ENSG00000167113,2723,2479,2049,1779,601,5319,3585,7817,2678,2946
ENSG00000167114,2789,4499,3165,2675,869,4232,3043,4466,5812,2847
ENSG00000167118,3074,4218,3886,3832,1250,4769,3670,3955,2531,2533
ENSG00000167123,4132,5706,3296,5267,2381,7487,5510,3830,5278,1672
ENSG00000167130,1054,1418,1158,970,497,2335,1779,2485,1501,1092
ENSG00000167136,199,265,43,65,4,96,153,159,50,24
ENSG00000167157,1031,1584,193,685,76,217,220,139,341,65
ENSG00000167173,2776,2028,3563,3550,796,1547,2042,1023,927,1681
ENSG00000167178,72,6,55,109,99,178,103,29,53,115
ENSG00000167182,2760,1493,1335,2106,538,2331,2569,3520,1826,1717
ENSG00000167183,4952,1869,50,194,42,4163,5694,4776,2590,4278
ENSG00000167186,1524,816,948,939,267,1996,2441,4170,1310,3269
ENSG00000167191,13369,5407,1973,2366,1121,1942,1298,258,807,974
ENSG00000167193,6189,5079,4550,7611,2597,9056,10572,7800,2598,4441
ENSG00000167196,1492,2443,2658,2195,538,3502,2512,2855,1704,1761
ENSG00000167202,1801,1867,1479,11467,1401,3818,8878,2679,1000,2349
ENSG00000167207,345,422,407,1085,190,1209,191,78,170,673
ENSG00000167208,337,366,538,6524,452,311,1184,153,55,254
ENSG00000167210,24,16,5,56,24,30,58,14,16,13
ENSG00000167216,742,130,205,208,64,563,270,666,146,168
ENSG00000167220,56,28,37,38,17,110,45,61,33,18
ENSG00000167232,341,605,565,1528,2236,4936,4660,4832,1191,4487
ENSG00000167244,4,50,71,260,1417,161,123,7,89,45
ENSG00000167257,709,1340,923,1532,693,968,1674,1969,437,466
ENSG00000167258,4314,5033,3620,8756,2912,9408,7964,7890,3448,4490
ENSG00000167261,138,38,27,517,38,72,102,27,19,53
ENSG00000167264,2052,959,693,872,333,625,731,596,292,346
ENSG00000167272,967,599,787,1018,478,1842,1539,1399,564,576
ENSG00000167280,2488,1953,427,809,598,1515,1468,2721,1057,813
ENSG00000167283,851,1295,1966,1683,466,668,2120,1992,577,554
ENSG00000167286,345,286,403,4282,257,117,389,9,30,142
ENSG00000167291,4777,12414,1728,5469,2532,12872,6511,14574,2816,5851
ENSG00000167302,426,674,176,297,205,449,433,484,337,204
ENSG00000167306,4578,7445,966,1281,2226,12419,2673,11631,4072,6861
ENSG00000167311,21,32,85,25,32,135,26,1,31,23
ENSG00000167315,2936,4142,1589,5492,2337,2288,2947,1523,1701,606
ENSG00000167323,6921,4993,2533,7241,1965,9436,6140,15134,1807,7705
ENSG00000167325,3639,9271,3903,7297,3494,9804,9379,7637,2463,5920
ENSG00000167332,15,22,6,58,3,19,22,9,5,26
ENSG00000167333,502,434,30,916,372,830,1389,631,111,882
ENSG00000167363,1563,2617,1583,459,225,1972,1493,3989,1823,1265
ENSG00000167371,749,85,30,78,47,262,115,581,216,101
ENSG00000167377,58,73,9,32,20,31,63,32,10,13
ENSG00000167378,2319,3130,1442,2445,792,2496,3052,2974,1295,1388
ENSG00000167380,402,543,282,1468,426,2119,1605,1569,514,946
ENSG00000167384,326,687,525,1751,383,1345,1318,1670,380,681
ENSG00000167393,1956,1366,446,501,386,1050,618,668,512,386
ENSG00000167394,430,353,151,331,64,1029,321,462,140,226
ENSG00000167395,2945,1967,931,1947,632,12593,2217,5137,1127,2370
ENSG00000167397,713,1194,522,554,210,1648,664,630,368,302
ENSG00000167447,1195,2290,478,1969,604,1733,1975,1806,1048,972
ENSG00000167460,32036,68309,29134,55981,20892,43569,63139,23091,42704,25876
ENSG00000167461,845,1613,1134,2311,551,1895,2145,2040,2324,1169
ENSG00000167468,9866,15177,24842,13330,1701,11286,15465,18709,14254,10343
ENSG00000167470,5326,8104,6754,5335,1389,8183,7265,9247,8011,5478
ENSG00000167476,457,8,1,66,1,41,12,2,11,56
ENSG00000167483,173,5,13,429,89,27,130,27,7,55
ENSG00000167487,593,1472,656,945,333,1550,1001,1566,634,911
ENSG00000167491,5353,12321,9778,7017,2813,7704,6773,6294,3500,3643
ENSG00000167508,5236,2654,1135,1334,362,1041,1044,987,1136,627
ENSG00000167513,3534,1561,2272,1230,488,452,570,614,368,310
ENSG00000167515,2816,1372,1369,1975,809,1305,2218,1532,1375,953
ENSG00000167522,9630,2985,3671,8482,3691,6009,6550,5638,2100,3030
ENSG00000167523,1205,397,555,294,205,486,310,576,315,287
ENSG00000167524,241,65,204,192,158,483,118,314,128,80
ENSG00000167525,156,53,31,94,49,215,123,283,75,122
ENSG00000167526,65745,49554,79567,42797,18378,25613,38546,24058,16979,17564
ENSG00000167528,821,1868,670,2440,788,2909,2777,3000,973,941
ENSG00000167535,4718,5335,766,676,835,2694,1697,6824,2277,964
ENSG00000167536,258,348,89,114,24,228,271,546,93,204
ENSG00000167543,3094,2259,1019,1285,578,1674,2054,1959,1314,1130
ENSG00000167548,3436,5061,3354,11276,3559,12792,9732,11893,3887,6136
ENSG00000167549,162,21,91,45,36,125,619,463,147,34
ENSG00000167550,79,68,148,280,48,82,66,66,46,28
ENSG00000167552,41590,37461,4165,13270,5802,10251,9871,11561,16929,5385
ENSG00000167553,5732,7915,8444,7763,2747,3445,5527,4079,3863,1900
ENSG00000167554,709,497,105,472,315,1027,509,261,184,446
ENSG00000167555,624,416,117,694,788,3725,1545,943,855,1417
ENSG00000167562,320,553,201,870,426,1067,983,913,457,466
ENSG00000167565,1630,1550,1171,2441,560,4086,2269,4038,3993,1814
ENSG00000167566,1332,1603,1975,1945,878,2024,2600,2614,937,1075
ENSG00000167578,119,15,33,54,14,105,38,84,23,25
ENSG00000167588,109,35,26,3548,45,900,194,92,8,414
ENSG00000167595,954,439,362,867,305,1343,895,1079,507,566
ENSG00000167600,221,222,338,1145,104,154,218,2995,327,137
ENSG00000167601,1924,3138,1370,8249,1579,3729,3773,2778,1543,2053
ENSG00000167604,337,129,265,961,108,416,233,451,108,149
ENSG00000167608,1614,2963,1974,462,359,17994,6555,24549,6736,8876
ENSG00000167613,1116,1586,1733,12596,883,1073,2596,698,295,812
ENSG00000167614,3922,4002,2154,91,15,205,27,13,41,67
ENSG00000167615,5300,4362,1997,4048,4196,8595,6012,10618,3111,3088
ENSG00000167617,327,916,47,200,76,223,492,14,92,142
ENSG00000167619,31,52,16,7,3,490,360,347,35,127
ENSG00000167625,626,1194,645,1556,324,1300,1122,1184,465,711
ENSG00000167632,15779,4066,2103,3563,1635,4966,3139,4494,4722,3112
ENSG00000167635,8882,11477,8935,17814,5256,12690,13723,9040,4484,6009
ENSG00000167637,235,490,207,1152,303,855,1144,766,145,446
ENSG00000167641,2571,365,89,330,34,149,70,48,28,83
ENSG00000167642,15197,4949,3527,3326,1193,12033,6690,9496,4310,5216
ENSG00000167645,5713,2322,2310,3364,856,2312,2146,2160,1414,1455
ENSG00000167646,5,7,12,2,19,267,184,243,163,48
ENSG00000167653,760,285,93,9,0,42,1620,1,27,164
ENSG00000167657,7761,5650,1724,2083,429,1902,3285,3389,2801,1723
ENSG00000167658,97779,251340,126271,159391,25653,107977,300538,262815,87248,113408
ENSG00000167670,2399,2729,2569,1692,479,1886,1543,2163,891,1105
ENSG00000167671,4368,6924,4779,4336,773,8213,6459,12313,4235,4711
ENSG00000167674,4047,7539,3708,2153,656,1992,2954,5135,3324,2042
ENSG00000167676,878,87,145,18275,251,1857,913,1208,281,1195
ENSG00000167680,625,520,696,1512,175,1132,2591,2685,656,396
ENSG00000167685,1362,2784,795,682,680,3422,1904,4792,1683,1807
ENSG00000167693,26378,4292,3406,3366,1709,2180,1673,153,826,563
ENSG00000167695,1106,1371,1882,1593,353,779,793,580,342,583
ENSG00000167699,3588,3398,2422,4273,1632,5912,5729,6712,2215,4075
ENSG00000167700,4904,2250,1360,454,183,1855,1051,2138,1355,1253
ENSG00000167701,687,818,24,31,297,82,59,85,21,27
ENSG00000167702,6113,1979,257,182,505,1096,576,1512,1480,474
ENSG00000167703,4328,2631,8546,6454,1516,1423,8428,11350,2075,1710
ENSG00000167705,354,272,567,657,146,183,1056,675,53,198
ENSG00000167711,1603,50,258,389,88,236,264,58,649,250
ENSG00000167716,2820,1395,1236,4391,755,3492,4981,2503,1267,1958
ENSG00000167720,313,89,159,401,102,749,555,950,233,728
ENSG00000167721,4253,2837,2783,3964,1867,4670,4673,3744,1161,2216
ENSG00000167723,688,22,134,86,611,26,15,22,39,37
ENSG00000167733,1225,2376,334,117,76,347,141,832,194,331
ENSG00000167740,1013,789,145,965,150,4417,2382,6556,897,3414
ENSG00000167741,3030,328,419,161,142,2780,425,193,1764,1346
ENSG00000167747,5286,6748,5047,6156,1758,3697,2672,2665,1370,1459
ENSG00000167748,536,116,11,395,25,60,18,3,13,28
ENSG00000167749,41,63,0,39,9,172,44,1,149,60
ENSG00000167754,20204,1222,4110,2136,3094,339,76,7,36,921
ENSG00000167766,1584,2721,361,2283,1730,6164,3856,4823,1958,2199
ENSG00000167767,4370,1660,1424,672,378,307,389,730,1287,805
ENSG00000167770,6344,5661,6746,4111,2350,6157,4613,8945,4200,2459
ENSG00000167771,3143,1255,4236,258,797,387,42,315,31,33
ENSG00000167772,1666,15475,2550,3392,559,474,318,242,222,433
ENSG00000167775,2237,3833,2476,1493,868,1522,2013,1365,561,1077
ENSG00000167778,3035,3237,2784,4138,921,8843,7028,7993,3150,4658
ENSG00000167779,390,840,155,808,126,625,808,489,179,249
ENSG00000167785,705,1119,1131,1324,155,2150,2223,2155,816,1218
ENSG00000167792,8941,9871,5807,6123,2662,8302,9821,9754,2615,17026
ENSG00000167797,3088,3596,2884,3230,661,2421,3376,4375,2043,6936
ENSG00000167799,451,981,159,195,78,249,419,511,107,1452
ENSG00000167815,9746,13511,10707,5696,1854,9178,10441,19300,7767,9348
ENSG00000167840,859,609,529,565,635,891,782,1363,313,395
ENSG00000167842,1410,753,707,2070,713,2494,1904,2040,754,1148
ENSG00000167850,91,86,60,542,47,61,1995,83,13,76
ENSG00000167851,551,1059,440,3153,453,388,757,512,111,286
ENSG00000167861,4929,3303,1562,601,1198,10686,6476,19509,15439,7699
ENSG00000167862,2114,4280,1288,1319,745,1305,1572,1982,1706,1226
ENSG00000167863,3715,13751,5063,5176,1348,5270,7127,5718,6201,3397
ENSG00000167874,132,45,48,146,20,106,74,52,26,60
ENSG00000167880,5176,8939,1935,1203,1018,3396,1651,6900,3949,2572
ENSG00000167881,5956,12654,3962,8567,3641,8733,8900,9546,6111,5721
ENSG00000167889,1026,26,126,89,20,26,28,135,8,45
ENSG00000167895,961,462,323,5192,558,575,955,186,139,404
ENSG00000167900,5775,11254,8681,2926,1414,3192,3927,5177,2631,2849
ENSG00000167904,3555,1310,951,2238,727,2172,1995,1818,1447,1183
ENSG00000167912,301,49,18,207,110,25,30,0,4,10
ENSG00000167914,144,59,9,168,25,30,146,6,11,19
ENSG00000167920,741,1621,764,361,242,1726,1419,2751,961,1857
ENSG00000167925,1076,697,617,1882,412,4665,3453,6471,3216,3210
ENSG00000167930,11011,3980,3358,4391,2506,9976,5618,10017,7360,9469
ENSG00000167962,5602,2628,2255,1858,692,1875,2288,2718,1112,1738
ENSG00000167964,267,21,37,14,11,634,214,3104,225,1226
ENSG00000167965,4679,2261,1936,1704,651,2280,2750,7362,2388,2940
ENSG00000167967,3836,1942,1183,862,452,2179,1760,4383,2097,2496
ENSG00000167968,103,40,4,6,5,75,21,253,46,70
ENSG00000167969,4592,2243,2826,1364,439,4165,3148,7350,4433,4002
ENSG00000167971,451,171,60,40,4,452,48,978,67,284
ENSG00000167972,4746,2389,1270,1828,359,10770,7554,11258,9230,7944
ENSG00000167977,5053,5056,3217,3025,913,1876,3002,2445,2095,2235
ENSG00000167978,49660,25592,21333,43505,16754,62071,51809,128774,30359,46228
ENSG00000167981,153,335,11,964,263,1093,715,772,247,407
ENSG00000167984,307,172,162,2963,349,293,621,429,108,354
ENSG00000167985,722,499,579,495,184,608,440,719,329,194
ENSG00000167986,18581,28016,20205,23324,8931,32815,27339,33259,16705,10991
ENSG00000167987,2760,4496,2715,1829,735,6162,4733,4896,4014,1788
ENSG00000167992,64,33,10,42,9,36,20,35,15,10
ENSG00000167994,1406,1981,1252,1563,197,1044,754,236,279,276
ENSG00000167995,171,110,48,432,51,166,175,186,54,79
ENSG00000167996,4304,5065,3937,5721,286,2742,2908,2851,2704,667
ENSG00000168000,96,60,70,88,34,282,172,322,105,80
ENSG00000168002,2999,4452,4549,4121,2479,6039,4644,4664,3587,1731
ENSG00000168003,13349,10486,8510,9628,5032,9977,9395,11780,6220,4749
ENSG00000168004,43,20,32,543,7,1461,321,2804,468,91
ENSG00000168005,2981,1709,3578,943,938,1150,1653,1853,927,540
ENSG00000168010,1033,374,499,770,420,1405,2037,2668,1137,1463
ENSG00000168014,1574,1378,1361,2811,1547,4405,3618,4105,973,5533
ENSG00000168016,967,884,586,11288,2197,3803,6269,1584,1783,2932
ENSG00000168026,262,158,122,224,284,861,412,587,320,386
ENSG00000168028,24861,68181,52189,63939,19416,23983,62341,32631,27733,19404
ENSG00000168032,19,69,11,149,35,339,86,1718,80,1014
ENSG00000168036,16262,52003,23486,40602,14487,57677,40437,59583,34652,27952
ENSG00000168038,260,174,123,331,105,1074,620,733,346,969
ENSG00000168040,340,250,60,174,32,240,195,195,104,229
ENSG00000168056,6555,4645,3797,7262,3838,24131,6628,18870,3548,5707
ENSG00000168060,93,122,45,354,56,164,154,32,47,99
ENSG00000168061,896,1629,1132,593,258,484,699,1384,630,250
ENSG00000168062,572,349,1420,671,295,827,290,83,31,132
ENSG00000168066,15612,15718,13051,17609,6306,18576,16830,23536,8695,7581
ENSG00000168067,1358,2172,2968,1739,771,1480,1471,2708,1142,712
ENSG00000168071,1519,442,453,2009,431,536,1053,716,148,384
ENSG00000168077,1289,4508,1853,3751,2418,5528,1416,821,867,2328
ENSG00000168078,1591,1583,2471,1657,2080,527,1139,1076,313,366
ENSG00000168079,191,5,12,3122,40,74,152,5,20,79
ENSG00000168090,6999,6551,7882,5937,2610,6581,6139,4339,5785,4286
ENSG00000168092,5165,11049,9213,13207,5020,7561,12081,10024,4903,3806
ENSG00000168096,2040,908,760,407,435,1283,944,2278,501,930
ENSG00000168101,2342,1850,830,1107,283,3199,1611,6060,2034,1956
ENSG00000168116,401,569,479,746,406,737,784,740,207,177
ENSG00000168118,6713,8314,3622,2894,1194,3677,4614,4060,1310,2679
ENSG00000168137,5580,8278,5038,13757,6551,14354,11644,14157,4307,6573
ENSG00000168140,10534,1493,1102,1808,1367,813,689,438,408,498
ENSG00000168143,238,940,259,254,388,447,393,9,584,114
ENSG00000168152,330,377,243,343,238,835,629,606,202,334
ENSG00000168159,22616,12004,20306,7126,2206,13052,7237,14644,11273,7980
ENSG00000168172,6528,3688,3166,8262,3909,4864,7930,4891,2123,2515
ENSG00000168175,3380,4401,3326,9013,2897,4603,6593,7440,3460,3119
ENSG00000168209,7734,3798,6237,1880,1148,1409,1473,3611,614,2346
ENSG00000168214,5071,5779,4632,17296,2736,6017,7937,6736,3835,4419
ENSG00000168216,2433,2250,978,5300,1142,5052,4323,5510,2479,4307
ENSG00000168228,309,370,376,731,185,800,701,651,392,551
ENSG00000168229,29,38,19,252,47,49,56,3468,9,54
ENSG00000168234,788,602,1102,3719,1611,2159,3352,9695,1278,5611
